Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C4, C7, C9",0402,5,10uF,
C10,0402,1,47nF,
"C11, C19, C2, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C43, C44, C45, C47, C5, C6",0402,30,100nF,
C13,0402,1,4.7uF,
C14,0402,1,20uF,
"C15, C16, C17, C20, C3, C46",0402,6,1uF,
"C18, C8",0402,2,22uF,
C42,0402,1,2.2uF,
D1,0603,1,LED WHITE,
D2,0603,1,LED RED,
"D3, D4",LESD5D50CT1G,2,LESD5D5.0CT1G,
IC1,AP33772SDKZ13FA01,1,AP33772SDKZ-13-FA01,
IC2,SON65P200X200X80-7N,1,LP5910-1.8DRVR,
IC3,BMI270,1,BMI270,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,JST_ZH_B2B-ZR-SM4-TF_1x02-1MP_P1.50mm_Vertical,1,Conn_01x02_Pin,
J7,JST_SM13B-GHS-TB,1,SM13B-GHS-TB,
L1,L_Murata_DFE201610P,1,470nH,
L2,1008,1,1uH,
"Q1, Q2",Diodes_PowerDI3333-8,2,DMN3008SFG,
R1,0402,1,"6,2k",
"R10, R17, R32, R39, R40, R41, R42, R43, R44, R6, R7",0402,11,10k,
R11,0402,1,511k,
R12,0402,1,1.5k,
R14,0402,1,91k,
"R15, R16, R22, R23, R24, R25, R26, R27, R28, R29, R30, R31",0402,12,4.7k,
"R18, R19, R20, R21",0402,4,100k,
R2,0402,1,100,
R3,1206,1,5m,
"R33, R34, R35, R36, R37, R38",0402,6,50,
"R4, R5",0402,2,5.1k,
R8,0402,1,30.1k,
R9,0402,1,5.23k,
TF1,TF-SMD_TF-012,1,TF-012,
TH1,0603,1,SDNT1608X103F3950FTF,
U1,WQFN-HR18__RYK_TEX,1,BQ25628ERYKR,
"U10, U11, U12, U4, U5, U6, U7, U8, U9",LGA8S145X65P2X4_200X250X110-V,9,DPS368,
U13,BGA9_BMM350_BOS,1,BMM350,
U14,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
U2,YFF0015AHAN,1,TPS63805YFFR,
U3,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
