Designator,Mid X,Mid Y,Rotation,Layer
C1,156.4,-120.0,270.0,top
C10,137.3,-112.6,270.0,bottom
C11,139.9,-114.02,90.0,bottom
C12,140.9,-113.98,90.0,bottom
C13,136.82,-111.15,180.0,bottom
C14,141.275,-107.67,270.0,bottom
C15,138.9,-113.53,90.0,bottom
C16,136.5,-84.57,270.0,top
C17,141.05,-84.05,90.0,top
C18,163.695,-111.3,180.0,bottom
C19,163.67,-110.25,180.0,bottom
C2,156.9,-118.5,0.0,top
C20,160.3,-111.25,0.0,bottom
C21,160.27,-112.3,0.0,bottom
C22,139.6,-99.07,90.0,bottom
C23,169.460589,-77.014411,225.0,top
C24,127.010589,-80.410589,315.0,top
C25,139.6,-100.97,90.0,bottom
C26,170.814411,-75.635589,225.0,top
C27,125.560589,-79.010589,315.0,top
C28,172.810589,-119.360589,135.0,top
C29,180.045,-97.575,180.0,top
C3,146.9,-122.78,270.0,bottom
C30,147.55,-69.77,270.0,top
C31,174.160589,-120.710589,135.0,top
C32,181.955,-97.575,180.0,top
C33,147.55,-67.83,270.0,top
C34,130.564411,-122.935589,45.0,top
C35,152.87,-130.35,0.0,top
C36,129.110589,-124.389411,45.0,top
C37,152.4,-131.83,90.0,top
C38,120.095,-102.4,0.0,top
C39,118.02,-102.4,0.0,top
C4,152.4,-124.0,180.0,top
C40,144.85,-83.58,270.0,top
C41,142.35,-84.95,270.0,top
C42,143.4,-84.93,90.0,top
C43,149.675,-83.955,270.0,top
C44,147.55,-84.65,0.0,top
C45,154.955,-108.225,0.0,top
C46,155.0,-98.4,90.0,top
C47,156.0,-98.38,90.0,top
C5,150.6,-125.08,270.0,bottom
C6,153.48,-123.3,180.0,bottom
C7,131.58,-109.0,0.0,bottom
C8,130.82,-112.6,0.0,bottom
C9,140.275,-107.67,270.0,bottom
D1,159.3,-121.5,180.0,top
D2,159.3,-119.8,180.0,top
D3,149.0,-110.75,180.0,bottom
D4,145.94,-110.75,180.0,bottom
IC1,150.0,-121.475,270.0,bottom
IC2,138.9,-83.9,180.0,top
IC3,147.5,-82.737,0.0,top
J1,150.0,-131.29,0.0,bottom
J3,132.0,-100.0,270.0,bottom
J7,164.0,-100.4,90.0,top
L1,129.35,-110.775,90.0,top
L2,140.175,-110.725001,270.0,top
Q1,149.18,-119.025,0.0,top
Q2,153.5,-119.025,180.0,top
R1,146.6,-118.21,270.0,top
R10,143.09,-109.05,0.0,bottom
R11,133.8,-111.9,0.0,bottom
R12,136.79,-110.1,180.0,bottom
R14,133.8,-110.9,180.0,bottom
R15,155.24,-110.25,180.0,bottom
R16,157.35,-110.25,0.0,bottom
R17,161.35,-110.25,0.0,bottom
R18,169.935624,-119.989376,225.0,top
R19,178.325,-100.135,270.0,top
R2,154.5,-121.5,180.0,top
R20,149.965,-71.675,0.0,top
R21,121.775,-99.99,90.0,top
R22,146.61,-110.55,0.0,top
R23,146.558126,-109.182016,0.0,top
R24,147.3,-112.55,0.0,top
R25,146.79,-111.55,0.0,top
R26,147.31,-114.55,0.0,top
R27,147.3,-113.55,0.0,top
R28,147.31,-116.6,0.0,top
R29,147.31,-115.55,0.0,top
R3,150.4625,-122.2,0.0,top
R30,157.96,-116.5,180.0,top
R31,156.91,-117.5,180.0,top
R32,152.3,-111.1,0.0,bottom
R33,157.97,-111.45,0.0,top
R34,158.01,-110.45,0.0,top
R35,157.97,-113.45,0.0,top
R36,157.97,-112.45,0.0,top
R37,157.96,-115.5,0.0,top
R38,157.97,-114.45,0.0,top
R39,153.39,-94.6,180.0,top
R4,152.11,-125.1,0.0,top
R40,153.39,-95.6,180.0,top
R41,153.4,-97.8,180.0,top
R42,153.41,-100.0,180.0,top
R43,153.4,-101.1,180.0,top
R44,153.41,-102.2,180.0,top
R5,146.44,-125.35,180.0,top
R6,156.7,-121.5,0.0,top
R7,157.8,-121.5,180.0,bottom
R8,138.5,-107.05,180.0,bottom
R9,138.51,-108.1,0.0,bottom
TF1,145.85,-100.0,270.0,top
TH1,152.575,-124.9,180.0,bottom
U1,140.1,-110.6,180.0,bottom
U10,128.07969,-121.920311,45.0,top
U11,150.0,-131.0,90.0,top
U12,119.0,-100.0,0.0,top
U13,143.34995,-82.94995,0.0,top
U14,152.5375,-112.975,270.0,top
U2,131.699999,-110.800001,0.0,bottom
U3,159.0,-100.0,90.0,bottom
U4,142.0,-100.0,90.0,bottom
U5,171.920311,-78.07969,225.0,top
U6,128.07969,-78.07969,315.0,top
U7,171.92031,-121.920311,135.0,top
U8,181.0,-100.0,180.0,top
U9,150.0,-69.0,270.0,top
